usindex,examiner_art_unit,uspc_class,rejection,allowance
2003149,3611,180,0.5273881935060378,0.4726118064939622
2523244,3764,602,0.6018550679365896,0.3981449320634104
8324643,3739,606,0.48896877686695595,0.511031223133044
10044937,3734,224,0.7280478636217008,0.2719521363782992
4881881,2831,174,0.5157218907933614,0.48427810920663866
5569139,3767,604,0.7242405422460505,0.2757594577539495
2599143,2912,D09,0.01267110645222258,0.9873288935477774
8296902,2858,324,0.5211605573005091,0.4788394426994908
7884730,3742,099,0.6064792572546176,0.39352074274538246
8571989,3637,211,0.7245076763609477,0.27549232363905224
3338474,2871,349,0.41924868497427636,0.5807513150257236
1747493,2904,D29,0.02734994211176256,0.9726500578882374
820416,2104,219,0.6202806058187535,0.37971939418124645
952990,2901,D13,0.012971367863819472,0.9870286321361805
15173536,2617,370,0.6546058316329298,0.34539416836707015
14309092,1106,252,0.5768701985708902,0.4231298014291098
7978209,3741,060,0.49332196276892837,0.5066780372310716
2871526,2914,D03,0.01909929786624942,0.9809007021337506
4293019,2123,703,0.5476012647989675,0.45239873520103246
100970,2506,250,0.48014370397316897,0.519856296026831
4459717,2913,D20,0.02990230270078642,0.9700976972992136
9314232,2684,340,0.46028331630999897,0.539716683690001
423948,2504,307,0.4325210801436009,0.5674789198563991
5693757,2852,399,0.33227064507926174,0.6677293549207383
4188781,1792,427,0.7498968827189599,0.25010311728104007
6698889,1731,106,0.5505392649417483,0.4494607350582517
7702637,3776,132,0.7008880328162288,0.29911196718377125
10055352,2441,709,0.3459006326769135,0.6540993673230865
6554024,2188,711,0.42356699686096166,0.5764330031390383
4483413,3754,482,0.547143027091686,0.45285697290831395
7378228,2497,726,0.2537029566758152,0.7462970433241848
2009949,2845,341,0.36738262665863153,0.6326173733413685
2273734,1751,510,0.756654320186047,0.24334567981395308
4602657,2468,370,0.4320941242744708,0.5679058757255292
3856239,2819,341,0.3553068177459412,0.6446931822540588
10359079,1627,514,0.6830001095498962,0.3169998904501038
1486219,2104,341,0.5330700758380926,0.4669299241619074
9737878,2493,726,0.324702437022932,0.675297562977068
8247166,1774,422,0.5149262789416718,0.48507372105832824
15755543,3743,034,0.6093831141019102,0.3906168858980898
1772424,1502,424,0.5274328649958095,0.4725671350041904
4197228,2853,347,0.40395342325934425,0.5960465767406558
2539028,2913,D06,0.01921734810914777,0.9807826518908522
6150544,2186,711,0.4691542708009049,0.5308457291990951
8470202,1736,423,0.5072278816713136,0.4927721183286864
8939700,2484,386,0.47366147345315124,0.5263385265468488
4026153,1753,204,0.6101914465307255,0.38980855346927445
7752628,2126,700,0.5827628373276267,0.4172371626723733
7366084,3736,600,0.5734355400332949,0.42656445996670517
3806624,1647,435,0.6917918046491023,0.3082081953508977
9566577,1742,264,0.6195022810025544,0.38049771899744556
5844118,3747,701,0.37405410785139204,0.625945892148608
7842336,3781,220,0.7181005916222211,0.28189940837777894
15940418,2649,455,0.3809526966614417,0.6190473033385583
520060,3505,248,0.6810865334495874,0.31891346655041264
8506238,1785,428,0.5549488479899836,0.4450511520100164
4343682,2183,712,0.5474244137732367,0.45257558622676325
15486714,3736,600,0.5734355400332949,0.42656445996670517
1540742,3105,224,0.7805511326254058,0.2194488673745942
15170753,2855,073,0.47652390092609476,0.5234760990739052
5310024,3902,001,0.9999923676490821,7.63235091798465e-06
