uspc_class,,examiner_art_unit,uspc_class,allowance
001,0,2921,001,0.017126337147455647
001,1,2847,001,0.015774593084726635
001,2,2842,001,0.01401683938623917
002,0,2902,002,0.7660214887645892
002,1,2901,002,0.7101583934354511
002,2,2915,002,0.47764043167881837
003,0,3307,003,0.9517435234814684
003,1,3305,003,0.9445209362636218
003,2,1502,003,0.9436509073420001
004,0,3638,004,0.6815230349683865
004,1,2856,004,0.5111655863251698
004,2,2899,004,0.45060687626042595
005,0,3765,005,0.6265094211546509
005,1,3645,005,0.6155906399167365
005,2,2687,005,0.6135883908178371
006,0,2902,006,0.9544436049885985
006,1,3303,006,0.6536864154084805
006,2,1305,006,0.6079472667200635
007,0,2902,007,0.8559368465275754
007,1,1504,007,0.42620112627038764
007,2,3711,007,0.37221864350197686
008,0,1401,008,0.9556907454900052
008,1,2901,008,0.8723167451849142
008,2,2686,008,0.7282586249974272
009,0,2407,009,0.9144340352349664
009,1,1205,009,0.8753831432609654
009,2,2201,009,0.8718908108891241
010,0,3204,010,0.713336418723236
010,1,3201,010,0.7020017499063624
010,2,3505,010,0.691426743608497
011,0,3204,011,0.8101418686651459
011,1,3202,011,0.8000918453749551
012,0,2901,012,0.8282264949120715
012,1,3765,012,0.5205334301264919
012,2,3641,012,0.46129846592237517
013,0,2103,013,0.9219626554434358
013,1,2102,013,0.9156061609472205
013,2,3401,013,0.9080496223824892
014,0,2901,014,0.8955219428079534
014,1,3616,014,0.5993908943656968
014,2,3678,014,0.5876047344634385
015,0,2902,015,0.8974781875794343
015,1,2901,015,0.8675750254765034
015,2,3638,015,0.7501707152521699
016,0,2901,016,0.8754111141428942
016,1,4127,016,0.5710846245824602
016,2,3641,016,0.5551368420911353
017,0,1302,017,0.955859136779846
017,1,1307,017,0.9400878846367885
017,2,3303,017,0.9348624361470133
018,0,2504,018,0.7366490152516111
018,1,1502,018,0.7001483054910611
019,0,2902,019,0.8180795040947211
019,1,3765,019,0.43109924383658016
019,2,3616,019,0.3700646270799978
021,0,3207,021,0.578969274432282
023,0,2901,023,0.9410381453834424
023,1,1302,023,0.7435214540877194
023,2,1504,023,0.7272288533520489
024,0,2901,024,0.9096345548737699
024,1,2837,024,0.6505044313394918
024,2,2831,024,0.6455689785728878
026,0,2901,026,0.8135780113610371
